GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
podam,uk.co.jemos.podam.exceptions,PodamMockeryException,4,5,0,0,2,2,1,1,1,1
podam,uk.co.jemos.podam.common,MethodLightFirstComparator,0,37,0,4,0,12,0,5,0,3
podam,uk.co.jemos.podam.common,BeanValidationStrategy,24,488,2,68,4,108,2,40,0,7
podam,uk.co.jemos.podam.common,ConstructorLightFirstComparator,0,37,0,4,0,12,0,5,0,3
podam,uk.co.jemos.podam.common,AbstractConstructorComparator,0,70,2,20,0,15,2,12,0,3
podam,uk.co.jemos.podam.common,MethodHeavyFirstComparator,0,37,0,4,0,12,0,5,0,3
podam,uk.co.jemos.podam.common,AbstractMethodComparator,0,70,0,22,0,15,0,14,0,3
podam,uk.co.jemos.podam.common,PodamConstants,7,0,0,0,2,0,1,0,1,0
podam,uk.co.jemos.podam.common,ConstructorHeavyFirstComparator,0,38,0,4,0,12,0,5,0,3
podam,uk.co.jemos.podam.common,ManufacturingContext,0,21,0,0,0,7,0,4,0,4
podam,uk.co.jemos.podam.api,AbstractMapArguments,30,24,0,0,7,10,1,7,1,7
podam,uk.co.jemos.podam.api,MapArguments,58,35,0,0,13,13,1,9,1,9
podam,uk.co.jemos.podam.api,DefaultClassInfoStrategy,2,10,0,0,1,4,1,3,1,3
podam,uk.co.jemos.podam.api,AbstractRandomDataProviderStrategy.new Object() {...},1,11,0,0,0,1,0,1,0,1
podam,uk.co.jemos.podam.api,AbstractExternalFactory,0,20,0,0,0,8,0,8,0,8
podam,uk.co.jemos.podam.api,MapKeyOrElementsArguments,48,26,0,0,11,10,1,7,1,7
podam,uk.co.jemos.podam.api,PodamFactoryImpl,413,3989,84,492,96,943,82,257,4,47
podam,uk.co.jemos.podam.api,ClassInfo,24,104,13,9,9,27,11,6,0,6
podam,uk.co.jemos.podam.api,ObjectStrategy,0,7,0,0,0,2,0,2,0,2
podam,uk.co.jemos.podam.api,NullExternalFactory,2,27,0,0,1,7,1,4,1,4
podam,uk.co.jemos.podam.api,AttributeMetadata,50,38,0,0,12,14,2,6,2,6
podam,uk.co.jemos.podam.api,DataProviderStrategy.Order,5,33,0,0,0,3,1,3,1,3
podam,uk.co.jemos.podam.api,AbstractClassInfoStrategy,6,147,2,10,1,36,3,15,1,11
podam,uk.co.jemos.podam.api,RandomDataProviderStrategyImpl,9,6,0,0,3,3,1,1,1,1
podam,uk.co.jemos.podam.api,ClassAttribute,42,100,12,2,12,24,7,9,1,8
podam,uk.co.jemos.podam.api,AbstractRandomDataProviderStrategy,14,514,6,42,5,138,9,60,3,42
podam,uk.co.jemos.podam.api,PodamUtils,45,897,7,93,11,149,8,58,1,15
